MaceHead;aug-sep;53;-10;0.107
Arctic;augu-oct;76.3;-71.407;0.097
Arctic;augu-oct;76.255;-75.594;0.072
Arctic;augu-oct;76.383;-77.382;0.112
Arctic;augu-oct;78.328;-74.356;0.244
Arctic;augu-oct;75.24;-74.982;0.125
Arctic;augu-oct;74.051;-79.921;0.1
Arctic;augu-oct;74.267;-91.197;0.198
Arctic;augu-oct;73.654;-96.284;0.101
Arctic;augu-oct;69.167;-100.7;0.128
Arctic;augu-oct;68.678;-103.869;0.086
Arctic;augu-oct;61.153;-64.825;0.112
Arctic;augu-oct;64.029;-79.215;0.121
Arctic;augu-oct;62.138;-78.714;0.165
Arctic;augu-oct;60.125;-79.166;0.116
Arctic;augu-oct;59.06;-87.482;0.14
BATS Sept-99;01-09-1999;31.67;-64.17;0.18
mid-Atlantic Bight;01-09-1998;37.41;-73.4;0.3
mid-Atlantic Bight;01-09-1998;36.57;-72.32;0.51
arctic_MA;24-09-2005;80.62581262;18.44351154;0.108907216
Lamborg et al. (in-prep);20-11-2007;-11;-25;0.13
Lamborg et al. (in-prep);22-11-2007;-12;-20;0.17
Lamborg et al. (in-prep);24-11-2007;-12.5;-15;0.09
Lamborg et al. (in-prep);27-11-2007;-12.5;-5;0.08
