Lamborg et al. (in-prep);04-12-2007;-14.75;10;0.08
"Mason and Fitzgerald (1990 1993)";15-01-1990;5.65;-87.6;0.33
"Mason and Fitzgerald (1990 1993)";15-01-1990;0;-110;0.18
"Mason and Fitzgerald (1990 1993)";15-01-1990;2.45;-129.5;0.09
"Mason and Fitzgerald (1990 1993)";15-01-1990;5;-150;0.11
"Mason and Fitzgerald (1990 1993)";15-01-1990;12.75;-157;0.08
"Mason and Fitzgerald (1990 1993)";15-01-1990;2.67;-171.67;0.04
"Mason and Fitzgerald (1990 1993)";15-01-1990;5;-180;0.13
"Mason and Fitzgerald (1990 1993)";15-01-1990;0;-180;0.17
"Mason and Fitzgerald (1990 1993)";15-01-1990;5;-180;0.21
Mason et al. (2001);01-12-1999;31.67;-64.17;0.16
